Frequencies, 250.0, 500.0, 1000.0, 2000.0, 4000.0
Basalt15, 0.23, 0.43, 0.37, 0.58, 0.62
Basalt30, 0.58, 0.48, 0.54, 0.73, 0.63
Basalt46, 0.53, 0.64, 0.84, 0.91, 0.63
Basalt15Fine, 0.64, 0.7, 0.79, 0.88, 0.72
Brick, 0.03, 0.03, 0.04, 0.05, 0.07
BrickPainted, 0.01, 0.02, 0.02, 0.02, 0.03
Concrete, 0.02, 0.04, 0.06, 0.08, 0.1
ConcreteBlock, 0.44, 0.31, 0.29, 0.39, 0.25
ConcreteBlockPainted, 0.05, 0.06, 0.07, 0.09, 0.08
ConcreteBlockPlastered, 0.05, 0.05, 0.04, 0.04, 0.04
ConcreteFloor, 0.01, 0.02, 0.02, 0.02, 0.02
Marble, 0.01, 0.01, 0.01, 0.02, 0.02
LinoleumOnConcrete, 0.03, 0.03, 0.03, 0.03, 0.02
WoodBoardsOnConcrete, 0.08, 0.07, 0.06, 0.06, 0.06
CarpetThinOnConcrete, 0.04, 0.08, 0.2, 0.35, 0.4
CarpetHeavyOnConcrete, 0.06, 0.14, 0.37, 0.6, 0.65
CarpetHeavyOnFoamRubber, 0.24, 0.57, 0.69, 0.71, 0.73
CarpetHeavyLatexBackingOnFoamRubber, 0.27, 0.39, 0.34, 0.48, 0.63
WoolLoopCarpet24, 0.16, 0.11, 0.3, 0.5, 0.47
WoolLoopCarpet64, 0.17, 0.12, 0.32, 0.52, 0.57
WoolLoopCarpet95, 0.18, 0.21, 0.5, 0.63, 0.83
LoopPileCarpet7, 0.08, 0.17, 0.33, 0.59, 0.75
LoopPileCarpet7OnPad, 0.19, 0.35, 0.79, 0.69, 0.79
LoopPileCarpet14OnPad, 0.25, 0.55, 0.7, 0.62, 0.84
CurtainsLight, 0.04, 0.11, 0.17, 0.24, 0.35
CurtainsMedium, 0.31, 0.49, 0.75, 0.7, 0.6
CurtainsHeavy, 0.35, 0.55, 0.72, 0.7, 0.65
GlassWindow, 0.25, 0.18, 0.12, 0.07, 0.04
GlassHeavyPlate, 0.06, 0.04, 0.03, 0.02, 0.02
GlassLargePane, 0.06, 0.04, 0.03, 0.02, 0.02
GlassSmallPane, 0.04, 0.04, 0.03, 0.02, 0.02
GypsumBoard, 0.1, 0.05, 0.04, 0.07, 0.09
GypsumPlasterBoard, 0.12, 0.1, 0.08, 0.07, 0.06
PlasterCeiling30, 0.12, 0.08, 0.06, 0.06, 0.04
PlasterCeiling60, 0.08, 0.05, 0.04, 0.03, 0.02
PlasterOnBrick, 0.02, 0.02, 0.03, 0.04, 0.05
PlasterOnLath, 0.1, 0.06, 0.05, 0.04, 0.03
AcousticalPlaster, 0.35, 0.64, 0.73, 0.73, 0.77
Plasterboard12OnStuds, 0.1, 0.06, 0.05, 0.04, 0.04
PlasterboardCeilingSuspendedGrid, 0.11, 0.04, 0.04, 0.07, 0.08
WoodenDoor, 0.07, 0.05, 0.04, 0.04, 0.04
WoodFloor, 0.11, 0.1, 0.07, 0.06, 0.07
WoodParquetOnConcrete, 0.04, 0.07, 0.06, 0.06, 0.07
WoodCeiling28, 0.14, 0.1, 0.08, 0.07, 0.06
WoodSideWalls12, 0.22, 0.19, 0.13, 0.08, 0.06
WoodSidewalls20, 0.18, 0.11, 0.08, 0.07, 0.06
WoodFloor33OnSleepersOverConcrete, 0.06, 0.05, 0.05, 0.05, 0.04
WoodFloor27OverAirspace, 0.07, 0.06, 0.06, 0.06, 0.06
Wood19OverFibreglassOnConcrete, 0.15, 0.08, 0.05, 0.05, 0.05
WoodenTongueGrooveCeiling, 0.19, 0.14, 0.08, 0.13, 0.1
Plywood3OverAirspace32, 0.25, 0.12, 0.08, 0.08, 0.08
Plywood3OverAirspace57, 0.2, 0.1, 0.1, 0.08, 0.08
Plywood5OverAirspace50, 0.24, 0.17, 0.1, 0.08, 0.05
Plywood6, 0.25, 0.15, 0.1, 0.1, 0.1
Plywood10, 0.22, 0.17, 0.09, 0.1, 0.11
Plywood19, 0.18, 0.15, 0.12, 0.1, 0.1
MetalDeck25Batts, 0.69, 0.99, 0.88, 0.52, 0.27
MetalDeck75Batts, 0.99, 0.99, 0.89, 0.52, 0.31
DryAsphalt, 0.2, 0.38, 0.19, 0.46, 0.46
WetAsphalt, 0.2, 0.38, 0.16, 0.66, 0.66
DirtyAsphalt, 0.2, 0.5, 0.19, 0.35, 0.35
WaterSurface, 0.01, 0.01, 0.02, 0.02, 0.03
AudienceHeavyOccupied, 0.76, 0.81, 0.84, 0.84, 0.81
AudienceMediumOccupied, 0.62, 0.68, 0.7, 0.68, 0.66
AudienceLightOccupied, 0.47, 0.57, 0.62, 0.62, 0.6
AudienceHeavyUnoccupied, 0.76, 0.81, 0.84, 0.84, 0.81
AudienceMediumUnoccupied, 0.62, 0.68, 0.7, 0.68, 0.66
AudienceLightUnoccupied, 0.47, 0.57, 0.62, 0.62, 0.6
Full_absorption, 1.0, 1.0, 1.0, 1.0, 1.0
